storm,buoy_no,buoy,name,lat,lon,n_obs_Hs,obs_peak_Hs_m,obs_peak_Tp_s
ike,1w,42020,NBDC 42020,26.968,-96.693,211,6.900000095367432,16.670000076293945
ike,2w,42019,NBDC 42019,27.91,-95.345,210,6.309999942779541,14.289999961853027
ike,3w,42035,NBDC 42035,29.232,-94.413,206,6.03000020980835,16.0
ike,4w,42055,NBDC 42055,22.124,-93.941,211,2.5799999237060547,16.0
ike,5w,42002,NBDC 42002,26.055,-93.646,196,6.0,16.0
ike,6w,42001,NBDC 42001,25.919,-89.674,211,9.25,16.0
ike,7w,42007,NBDC 42007,30.09,-88.769,211,5.039999961853027,16.670000076293945
ike,8w,42040,NBDC 42040,29.207,-88.237,211,8.600000381469727,16.0
ike,9w,42039,NBDC 42039,28.787,-86.007,211,7.960000038146973,16.0
ike,10w,42036,NBDC 42036,28.501,-84.508,211,4.550000190734863,13.789999961853027
ida,1w,42020,NBDC 42020,26.968,-96.693,223,1.2699999809265137,16.0
ida,2w,42019,NBDC 42019,27.91,-95.345,223,1.149999976158142,13.789999961853027
ida,3w,42035,NBDC 42035,29.232,-94.413,223,1.1799999475479126,16.0
ida,4w,42055,NBDC 42055,22.124,-93.941,223,1.7100000381469727,16.0
ida,5w,42002,NBDC 42002,26.055,-93.646,223,1.7699999809265137,16.0
ida,6w,42001,NBDC 42001,25.919,-89.674,0,,
ida,7w,42007,NBDC 42007,30.09,-88.769,0,,
ida,8w,42040,NBDC 42040,29.207,-88.237,223,8.270000457763672,14.8100004196167
ida,9w,42039,NBDC 42039,28.787,-86.007,223,5.550000190734863,11.430000305175781
ida,10w,42036,NBDC 42036,28.501,-84.508,223,3.630000114440918,11.430000305175781
